time,q0_x,q0_y,q0_z,q1_x,q1_y,q1_z,q2_x,q2_y,q2_z
11.65,0.992709,0.102312,-0.0562254,0.00114253,0.614101,-0.788656,0,0,1
11.66,0.992744,0.102542,-0.0551696,0.00135656,0.622198,-0.782284,0,0,1
11.67,0.992775,0.102821,-0.0540987,0.00154042,0.630322,-0.775753,0,0,1
11.68,0.992796,0.103177,-0.0530185,0.0016718,0.638423,-0.769099,0,0,1
11.69,0.992801,0.103672,-0.0519373,0.00170611,0.646427,-0.762384,0,0,1
11.7,0.992787,0.104359,-0.0508346,0.00161319,0.654473,-0.755488,0,0,1
11.71,0.992787,0.104886,-0.0497332,0.00161483,0.66239,-0.748556,0,0,1
11.72,0.992784,0.105416,-0.0486498,0.00159914,0.670067,-0.741692,0,0,1
11.73,0.992792,0.105837,-0.0475647,0.00164871,0.677651,-0.73477,0,0,1
11.74,0.992796,0.106288,-0.0464689,0.00167253,0.685206,-0.727729,0,0,1
11.75,0.992792,0.106789,-0.0453854,0.00164919,0.692571,-0.720723,0,0,1
11.76,0.992776,0.107402,-0.0442792,0.00154426,0.699979,-0.713532,0,0,1
11.77,0.992736,0.108233,-0.0431504,0.00127924,0.707411,-0.706165,0,0,1
11.78,0.992685,0.109127,-0.042036,0.000951722,0.714615,-0.698874,0,0,1
11.79,0.992645,0.109917,-0.0409101,0.00068902,0.721762,-0.69149,0,0,1
11.8,0.992622,0.110536,-0.0397884,0.000536604,0.728762,-0.68411,0,0,1
11.81,0.99262,0.110957,-0.038655,0.000522126,0.735725,-0.676616,0,0,1
11.82,0.992621,0.11134,-0.0375177,0.000526874,0.742609,-0.669053,0,0,1
11.83,0.992626,0.111667,-0.0363817,0.000564123,0.749387,-0.661452,0,0,1
11.84,0.99261,0.112168,-0.0352661,0.000455083,0.755943,-0.65395,0,0,1
11.85,0.992578,0.112798,-0.0341314,0.000240982,0.762501,-0.646291,0,0,1
11.86,0.99255,0.113377,-0.0330122,5.02612e-05,0.76886,-0.638713,0,0,1
11.87,0.992529,0.113891,-0.0318644,-9.42967e-05,0.775272,-0.630915,0,0,1
11.88,0.992509,0.114383,-0.030708,-0.000231359,0.781624,-0.623028,0,0,1
11.89,0.992476,0.114967,-0.0295669,-0.000456608,0.787785,-0.615219,0,0,1
11.9,0.992436,0.115598,-0.0284259,-0.000730033,0.793835,-0.607392,0,0,1
11.91,0.992412,0.116083,-0.0272633,-0.000895117,0.799891,-0.599395,0,0,1
11.92,0.992399,0.116459,-0.0260924,-0.000981951,0.805886,-0.59131,0,0,1
11.93,0.992386,0.116829,-0.0249254,-0.00107569,0.811761,-0.583217,0,0,1
11.94,0.992374,0.117179,-0.0237436,-0.00116153,0.81761,-0.574989,0,0,1
11.95,0.992368,0.117457,-0.0225796,-0.00120138,0.823275,-0.566849,0,0,1
11.96,0.992368,0.117671,-0.0214137,-0.00119768,0.828856,-0.558656,0,0,1
11.97,0.992356,0.11798,-0.0202559,-0.00128548,0.834305,-0.550485,0,0,1
