time,p00,p01,p10,p11
5.1,0.25,0,0.23358,0.0164202
5.11,0.25,0,0.234188,0.0158116
5.12,0.25,0,0.234786,0.0152135
5.13,0.25,0,0.235374,0.014626
5.14,0.25,0,0.235951,0.0140492
5.15,0.25,0,0.236517,0.0134832
5.16,0.25,0,0.237072,0.0129279
5.17,0.25,0,0.237616,0.0123835
5.18,0.25,0,0.23815,0.0118501
5.19,0.25,0,0.238672,0.0113277
5.2,0.25,0,0.239184,0.0108164
5.21,0.25,0,0.239684,0.0103162
5.22,0.25,0,0.240173,0.00982728
5.23,0.25,0,0.24065,0.00934959
5.24,0.25,0,0.241117,0.00888323
5.25,0.25,0,0.241572,0.00842827
5.26,0.25,0,0.242015,0.00798475
5.27,0.25,0,0.242447,0.00755273
5.28,0.25,0,0.242868,0.00713227
5.29,0.25,0,0.243277,0.00672342
5.3,0.25,0,0.243674,0.00632622
5.31,0.25,0,0.244059,0.00594074
5.32,0.25,0,0.244433,0.00556701
5.33,0.25,0,0.244795,0.00520509
5.34,0.25,0,0.245145,0.00485501
5.35,0.25,0,0.245483,0.00451683
5.36,0.25,0,0.245809,0.00419058
5.37,0.25,0,0.246124,0.00387631
5.38,0.25,0,0.246426,0.00357406
5.39,0.25,0,0.246716,0.00328386
5.4,0.25,0,0.246994,0.00300575
5.41,0.25,0,0.24726,0.00273976
5.42,0.25,0,0.247514,0.00248593
5.43,0.25,0,0.247756,0.00224429
5.44,0.25,0,0.247985,0.00201486
5.45,0.25,0,0.248202,0.00179769
5.46,0.25,0,0.248407,0.00159279
5.47,0.25,0,0.2486,0.00140019
5.48,0.25,0,0.24878,0.00121992
5.49,0.25,0,0.248948,0.00105199
5.5,0.25,0,0.249104,0.000896436
5.51,0.25,0,0.249247,0.000753266
5.52,0.25,0,0.249377,0.000622502
5.53,0.25,0,0.249496,0.00050416
5.54,0.25,0,0.249602,0.000398255
5.55,0.25,0,0.249695,0.0003048
5.56,0.25,0,0.249776,0.000223806
5.57,0.25,0,0.249845,0.000155285
