time,q0_x,q0_y,q0_z,q1_x,q1_y,q1_z,q2_x,q2_y,q2_z,q3_x,q3_y,q3_z
12.14,0.988065,-0.0853738,0.128214,0.0243477,-0.962989,0.26844,0,0,1,0,0,1
12.15,0.988065,-0.0853738,0.128214,0.0247254,-0.965976,0.257447,0,0,1,0,0,1
12.16,0.988065,-0.0853738,0.128214,0.0249605,-0.968859,0.246351,0,0,1,0,0,1
12.17,0.988065,-0.0853738,0.128214,0.0251122,-0.971657,0.235056,0,0,1,0,0,1
12.18,0.988065,-0.0853738,0.128214,0.0251924,-0.97437,0.223537,0,0,1,0,0,1
12.19,0.988065,-0.0853738,0.128214,0.025313,-0.97697,0.211868,0,0,1,0,0,1
12.2,0.988065,-0.0853738,0.128214,0.0254764,-0.979363,0.200495,0,0,1,0,0,1
12.21,0.988065,-0.0853738,0.128214,0.025703,-0.981378,0.190358,0,0,1,0,0,1
12.22,0.988065,-0.0853738,0.128214,0.0259457,-0.982974,0.181906,0,0,1,0,0,1
12.23,0.988065,-0.0853738,0.128214,0.0263043,-0.984511,0.173341,0,0,1,0,0,1
12.24,0.988065,-0.0853738,0.128214,0.0267811,-0.986139,0.163743,0,0,1,0,0,1
12.25,0.988065,-0.0853738,0.128214,0.0270936,-0.987717,0.153885,0,0,1,0,0,1
12.26,0.988065,-0.0853738,0.128214,0.0275583,-0.989191,0.144017,0,0,1,0,0,1
12.27,0.988065,-0.0853738,0.128214,0.0278172,-0.990476,0.134843,0,0,1,0,0,1
12.28,0.988065,-0.0853738,0.128214,0.0281327,-0.991665,0.125738,0,0,1,0,0,1
12.29,0.988065,-0.0853738,0.128214,0.0285553,-0.992963,0.114931,0,0,1,0,0,1
12.3,0.988065,-0.0853738,0.128214,0.0289216,-0.994243,0.103169,0,0,1,0,0,1
12.31,0.988065,-0.0853738,0.128214,0.0292195,-0.995445,0.0907448,0,0,1,0,0,1
12.32,0.988065,-0.0853738,0.128214,0.0296423,-0.996548,0.0775495,0,0,1,0,0,1
12.33,0.988065,-0.0853738,0.128214,0.030098,-0.997525,0.0635438,0,0,1,0,0,1
12.34,0.988065,-0.0853738,0.128214,0.0306249,-0.998302,0.0495479,0,0,1,0,0,1
12.35,0.988065,-0.0853738,0.128214,0.0312557,-0.998871,0.035765,0,0,1,0,0,1
12.36,0.988065,-0.0853738,0.128214,0.0317474,-0.99925,0.0221726,0,0,1,0,0,1
12.37,0.988065,-0.0853738,0.128214,0.0320582,-0.999435,0.0101358,0,0,1,0,0,1
12.38,0.988065,-0.0853738,0.128214,0.0323446,-0.999474,-0.00220862,0,0,1,0,0,1
12.39,0.988065,-0.0853738,0.128214,0.032631,-0.999348,-0.0154699,0,0,1,0,0,1
12.4,0.988065,-0.0853738,0.128214,0.0329211,-0.999022,-0.0295015,0,0,1,0,0,1
12.41,0.988065,-0.0853738,0.128214,0.033263,-0.998583,-0.041532,0,0,1,0,0,1
12.42,0.988065,-0.0853738,0.128214,0.0336477,-0.997985,-0.0537899,0,0,1,0,0,1
12.43,0.988065,-0.0853738,0.128214,0.0340096,-0.997262,-0.0656708,0,0,1,0,0,1
12.44,0.988065,-0.0853738,0.128214,0.0342216,-0.996581,-0.0751978,0,0,1,0,0,1
12.45,0.988065,-0.0853738,0.128214,0.0344931,-0.995935,-0.0832071,0,0,1,0,0,1
12.46,0.988065,-0.0853738,0.128214,0.0348259,-0.995137,-0.0921376,0,0,1,0,0,1
12.47,0.988065,-0.0853738,0.128214,0.0353555,-0.99437,-0.0998953,0,0,1,0,0,1
12.48,0.988065,-0.0853738,0.128214,0.0358188,-0.993768,-0.105558,0,0,1,0,0,1
12.49,0.988065,-0.0853738,0.128214,0.0362681,-0.993038,-0.112072,0,0,1,0,0,1
12.5,0.988065,-0.0853738,0.128214,0.0365465,-0.992132,-0.119743,0,0,1,0,0,1
12.51,0.988065,-0.0853738,0.128214,0.0369512,-0.991282,-0.126469,0,0,1,0,0,1
12.52,0.988065,-0.0853738,0.128214,0.0372555,-0.990447,-0.132764,0,0,1,0,0,1
12.53,0.988065,-0.0853738,0.128214,0.0375345,-0.989716,-0.138032,0,0,1,0,0,1
12.54,0.988065,-0.0853738,0.128214,0.0376834,-0.988883,-0.143841,0,0,1,0,0,1
12.55,0.988065,-0.0853738,0.128214,0.0378764,-0.987905,-0.150365,0,0,1,0,0,1
12.56,0.988065,-0.0853738,0.128214,0.0380794,-0.986766,-0.157614,0,0,1,0,0,1
12.57,0.988065,-0.0853738,0.128214,0.038097,-0.985406,-0.165903,0,0,1,0,0,1
12.58,0.988065,-0.0853738,0.128214,0.0380732,-0.983967,-0.174241,0,0,1,0,0,1
12.59,0.988065,-0.0853738,0.128214,0.0379247,-0.982534,-0.18218,0,0,1,0,0,1
12.6,0.988065,-0.0853738,0.128214,0.0378742,-0.981191,-0.189288,0,0,1,0,0,1
12.61,0.988065,-0.0853738,0.128214,0.0377995,-0.979788,-0.196433,0,0,1,0,0,1
12.62,0.988065,-0.0853738,0.128214,0.0375348,-0.97833,-0.203622,0,0,1,0,0,1
12.63,0.988065,-0.0853738,0.128214,0.0373522,-0.977202,-0.209,0,0,1,0,0,1
12.64,0.988065,-0.0853738,0.128214,0.0372248,-0.97608,-0.2142,0,0,1,0,0,1
12.65,0.988065,-0.0853738,0.128214,0.0369492,-0.974708,-0.220405,0,0,1,0,0,1
12.66,0.988065,-0.0853738,0.128214,0.0367602,-0.973868,-0.224119,0,0,1,0,0,1
12.67,0.988065,-0.0853738,0.128214,0.0366087,-0.973213,-0.226971,0,0,1,0,0,1
12.68,0.988065,-0.0853738,0.128214,0.0364054,-0.972654,-0.229387,0,0,1,0,0,1
12.69,0.988065,-0.0853738,0.128214,0.0363653,-0.972087,-0.231783,0,0,1,0,0,1
12.7,0.988065,-0.0853738,0.128214,0.0364456,-0.971172,-0.235577,0,0,1,0,0,1
12.71,0.988065,-0.0853738,0.128214,0.0364331,-0.970291,-0.239183,0,0,1,0,0,1
12.72,0.988065,-0.0853738,0.128214,0.0363919,-0.96957,-0.242096,0,0,1,0,0,1
12.73,0.988065,-0.0853738,0.128214,0.0364059,-0.968299,-0.247125,0,0,1,0,0,1
12.74,0.988065,-0.0853738,0.128214,0.036419,-0.966755,-0.253096,0,0,1,0,0,1
12.75,0.988065,-0.0853738,0.128214,0.0363093,-0.964969,-0.259841,0,0,1,0,0,1
12.76,0.988065,-0.0853738,0.128214,0.0362865,-0.963215,-0.266272,0,0,1,0,0,1
12.77,0.988065,-0.0853738,0.128214,0.0361948,-0.96168,-0.271775,0,0,1,0,0,1
12.78,0.988065,-0.0853738,0.128214,0.0361775,-0.960158,-0.277107,0,0,1,0,0,1
12.79,0.988065,-0.0853738,0.128214,0.0361122,-0.958087,-0.284192,0,0,1,0,0,1
12.8,0.988065,-0.0853738,0.128214,0.035938,-0.956022,-0.291083,0,0,1,0,0,1
12.81,0.988065,-0.0853738,0.128214,0.0356888,-0.953521,-0.299206,0,0,1,0,0,1
12.82,0.988065,-0.0853738,0.128214,0.0353455,-0.95049,-0.308737,0,0,1,0,0,1
12.83,0.988065,-0.0853738,0.128214,0.0349729,-0.947859,-0.316766,0,0,1,0,0,1
12.84,0.988065,-0.0853738,0.128214,0.0345985,-0.944682,-0.326158,0,0,1,0,0,1
12.85,0.988065,-0.0853738,0.128214,0.0344042,-0.941547,-0.33512,0,0,1,0,0,1
12.86,0.988065,-0.0853738,0.128214,0.0341842,-0.937932,-0.345131,0,0,1,0,0,1
12.87,0.988065,-0.0853738,0.128214,0.0338134,-0.93414,-0.355302,0,0,1,0,0,1
12.88,0.988065,-0.0853738,0.128214,0.03353,-0.930456,-0.364866,0,0,1,0,0,1
12.89,0.988065,-0.0853738,0.128214,0.0332064,-0.926542,-0.374722,0,0,1,0,0,1
12.9,0.988065,-0.0853738,0.128214,0.0329803,-0.922407,-0.384809,0,0,1,0,0,1
12.91,0.988065,-0.0853738,0.128214,0.0327845,-0.918299,-0.394528,0,0,1,0,0,1
12.92,0.988065,-0.0853738,0.128214,0.0325214,-0.914228,-0.403892,0,0,1,0,0,1
12.93,0.988065,-0.0853738,0.128214,0.032267,-0.909768,-0.413861,0,0,1,0,0,1
12.94,0.988065,-0.0853738,0.128214,0.0321283,-0.904872,-0.424469,0,0,1,0,0,1
12.95,0.988065,-0.0853738,0.128214,0.0321126,-0.899393,-0.435959,0,0,1,0,0,1
12.96,0.988065,-0.0853738,0.128214,0.0322102,-0.893656,-0.447595,0,0,1,0,0,1
12.97,0.988065,-0.0853738,0.128214,0.0322645,-0.887763,-0.459169,0,0,1,0,0,1
12.98,0.988065,-0.0853738,0.128214,0.0323087,-0.881048,-0.471923,0,0,1,0,0,1
12.99,0.988065,-0.0853738,0.128214,0.0323819,-0.874285,-0.484332,0,0,1,0,0,1
13,0.988065,-0.0853738,0.128214,0.0323923,-0.867403,-0.496551,0,0,1,0,0,1
13.01,0.988065,-0.0853738,0.128214,0.0322177,-0.860448,-0.508519,0,0,1,0,0,1
13.02,0.988065,-0.0853738,0.128214,0.0320302,-0.852901,-0.52109,0,0,1,0,0,1
13.03,0.988065,-0.0853738,0.128214,0.0319349,-0.84565,-0.532782,0,0,1,0,0,1
13.04,0.988065,-0.0853738,0.128214,0.0319449,-0.83789,-0.544903,0,0,1,0,0,1
13.05,0.988065,-0.0853738,0.128214,0.0319579,-0.830461,-0.55616,0,0,1,0,0,1
13.06,0.988065,-0.0853738,0.128214,0.0319767,-0.821928,-0.568694,0,0,1,0,0,1
13.07,0.988065,-0.0853738,0.128214,0.0320365,-0.812463,-0.582132,0,0,1,0,0,1
13.08,0.988065,-0.0853738,0.128214,0.0320631,-0.802923,-0.59522,0,0,1,0,0,1
13.09,0.988065,-0.0853738,0.128214,0.0321199,-0.793946,-0.60714,0,0,1,0,0,1
13.1,0.988065,-0.0853738,0.128214,0.0321673,-0.786165,-0.617179,0,0,1,0,0,1
13.11,0.988065,-0.0853738,0.128214,0.0320296,-0.7784,-0.626951,0,0,1,0,0,1
13.12,0.988065,-0.0853738,0.128214,0.0320582,-0.770189,-0.637009,0,0,1,0,0,1
13.13,0.988065,-0.0853738,0.128214,0.0321468,-0.761772,-0.647047,0,0,1,0,0,1
13.14,0.988065,-0.0853738,0.128214,0.0322705,-0.752837,-0.657415,0,0,1,0,0,1
13.15,0.988065,-0.0853738,0.128214,0.032401,-0.742798,-0.668731,0,0,1,0,0,1
13.16,0.988065,-0.0853738,0.128214,0.0325895,-0.73334,-0.67908,0,0,1,0,0,1
13.17,0.988065,-0.0853738,0.128214,0.0327948,-0.72456,-0.688431,0,0,1,0,0,1
13.18,0.988065,-0.0853738,0.128214,0.0331226,-0.715815,-0.697503,0,0,1,0,0,1
13.19,0.988065,-0.0853738,0.128214,0.0334624,-0.707448,-0.705973,0,0,1,0,0,1
13.2,0.988065,-0.0853738,0.128214,0.0337945,-0.698561,-0.714752,0,0,1,0,0,1
13.21,0.988065,-0.0853738,0.128214,0.0341729,-0.689105,-0.723856,0,0,1,0,0,1
