time,q0_x,q0_y,q0_z,q1_x,q1_y,q1_z,q2_x,q2_y,q2_z
0.38,0.00211178,-0.263631,0.964621,0,0,1,0,0,1
0.381,0.00213086,-0.264077,0.964499,0,0,1,0,0,1
0.382,0.00214724,-0.264512,0.96438,0,0,1,0,0,1
0.383,0.00216375,-0.264939,0.964263,0,0,1,0,0,1
0.384,0.00218294,-0.265361,0.964147,0,0,1,0,0,1
0.385,0.00219638,-0.265779,0.964031,0,0,1,0,0,1
0.386,0.00220844,-0.266198,0.963916,0,0,1,0,0,1
0.387,0.00222174,-0.266618,0.9638,0,0,1,0,0,1
0.388,0.00223412,-0.267016,0.96369,0,0,1,0,0,1
0.389,0.00224838,-0.267411,0.96358,0,0,1,0,0,1
0.39,0.00226097,-0.267811,0.963469,0,0,1,0,0,1
0.391,0.00227441,-0.268212,0.963357,0,0,1,0,0,1
0.392,0.00228629,-0.268598,0.96325,0,0,1,0,0,1
0.393,0.00229553,-0.268993,0.963139,0,0,1,0,0,1
0.394,0.00230866,-0.269392,0.963028,0,0,1,0,0,1
0.395,0.00232243,-0.269793,0.962915,0,0,1,0,0,1
0.396,0.00234148,-0.270198,0.962802,0,0,1,0,0,1
0.397,0.00235741,-0.270599,0.962689,0,0,1,0,0,1
0.398,0.0023684,-0.271002,0.962576,0,0,1,0,0,1
0.399,0.00238066,-0.271406,0.962462,0,0,1,0,0,1
0.4,0.00239265,-0.271803,0.96235,0,0,1,0,0,1
0.401,0.00240727,-0.272187,0.962241,0,0,1,0,0,1
0.402,0.00242063,-0.272544,0.96214,0,0,1,0,0,1
0.403,0.00243269,-0.27291,0.962036,0,0,1,0,0,1
