time,q0_x,q0_y,q0_z,q1_x,q1_y,q1_z,q2_x,q2_y,q2_z,q3_x,q3_y,q3_z,q4_x,q4_y,q4_z,q5_x,q5_y,q5_z,q6_x,q6_y,q6_z,q7_x,q7_y,q7_z,q8_x,q8_y,q8_z,q9_x,q9_y,q9_z
11.15,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0316592,0.0294346,-0.999065,0,0,1,-0.0178493,-0.986246,-0.164318,0,0,1,0,0,1,0,0,1
11.25,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0316592,0.0294346,-0.999065,0,0,1,-0.0110016,-0.965546,-0.259999,0,0,1,0,0,1,0,0,1
11.35,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0316592,0.0294346,-0.999065,0,0,1,-0.00174533,-0.933426,-0.358766,0,0,1,0,0,1,0,0,1
11.45,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0316592,0.0294346,-0.999065,0,0,1,0.0060847,-0.889794,-0.456323,0,0,1,0,0,1,0,0,1
11.55,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0316592,0.0294346,-0.999065,0,0,1,0.0127029,-0.835656,-0.549106,0,0,1,0,0,1,0,0,1
11.65,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0316592,0.0294346,-0.999065,0,0,1,0.0158094,-0.775342,-0.631344,0,0,1,0,0,1,0,0,1
11.75,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0316592,0.0294346,-0.999065,0,0,1,0.0180759,-0.707794,-0.706188,0,0,1,0,0,1,0,0,1
11.85,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0316592,0.0294346,-0.999065,0,0,1,0.0178141,-0.635338,-0.772029,0,0,1,0,0,1,0,0,1
11.95,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0316592,0.0294346,-0.999065,0,0,1,0.0145262,-0.557712,-0.829907,0,0,1,0,0,1,0,0,1
12.05,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0316592,0.0294346,-0.999065,0,0,1,0.0120883,-0.470518,-0.882308,0,0,1,0,0,1,0,0,1
12.15,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0316592,0.0294346,-0.999065,0,0,1,0.00853398,-0.380256,-0.924842,0,0,1,0,0,1,0,0,1
12.25,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0316592,0.0294346,-0.999065,0,0,1,0.00758038,-0.285924,-0.958222,0,0,1,0,0,1,0,0,1
12.35,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0316592,0.0294346,-0.999065,0,0,1,0.00733007,-0.188379,-0.982069,0,0,1,0,0,1,0,0,1
12.45,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0316592,0.0294346,-0.999065,0,0,1,0.00716478,-0.0847033,-0.99638,0,0,1,0,0,1,0,0,1
12.55,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0316592,0.0294346,-0.999065,0,0,1,0.00709732,0.0163619,-0.999841,0,0,1,0,0,1,0,0,1
12.64,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0316592,0.0294346,-0.999065,0,0,1,0.00709331,0.0262981,-0.999629,0,0,1,1.14419e-05,-0.0909283,0.995857,0,0,1
12.74,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0316592,0.0294346,-0.999065,0,0,1,0.00709331,0.0262981,-0.999629,0,0,1,4.80412e-05,-0.190976,0.981595,0,0,1
12.84,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0316592,0.0294346,-0.999065,0,0,1,0.00709331,0.0262981,-0.999629,0,0,1,0.00100757,-0.292337,0.956315,0,0,1
12.94,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0316592,0.0294346,-0.999065,0,0,1,0.00709331,0.0262981,-0.999629,0,0,1,0.00381563,-0.389569,0.920989,0,0,1
13.04,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0316592,0.0294346,-0.999065,0,0,1,0.00709331,0.0262981,-0.999629,0,0,1,0.00710584,-0.478577,0.878017,0,0,1
13.14,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0316592,0.0294346,-0.999065,0,0,1,0.00709331,0.0262981,-0.999629,0,0,1,0.0119094,-0.562291,0.826854,0,0,1
13.24,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0316592,0.0294346,-0.999065,0,0,1,0.00709331,0.0262981,-0.999629,0,0,1,0.0165384,-0.640569,0.767722,0,0,1
13.34,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0316592,0.0294346,-0.999065,0,0,1,0.00709331,0.0262981,-0.999629,0,0,1,0.0191891,-0.712873,0.70103,0,0,1
13.44,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0316592,0.0294346,-0.999065,0,0,1,0.00709331,0.0262981,-0.999629,0,0,1,0.022899,-0.778501,0.627226,0,0,1
13.54,-0.0635942,-0.0224894,-0.997722,0,0,1,-0.020445,-0.0236269,-0.999512,0,0,1,0.0316592,0.0294346,-0.999065,0,0,1,0.00709331,0.0262981,-0.999629,0,0,1,0.0280207,-0.837378,0.545905,0,0,1
