time,q0_x,q0_y,q0_z,q1_x,q1_y,q1_z,q2_x,q2_y,q2_z,q3_x,q3_y,q3_z,q4_x,q4_y,q4_z,q5_x,q5_y,q5_z,q6_x,q6_y,q6_z,q7_x,q7_y,q7_z,q8_x,q8_y,q8_z,q9_x,q9_y,q9_z
61.76,0.106829,0.0281852,0.993878,0.132256,0.0443579,-0.990223,0.0570528,-0.092943,0.994036,0.132256,0.0443579,-0.990223,-0.141801,0.882417,0.44859,0.132256,0.0443579,-0.990223,0.384097,-0.0662955,-0.92091,0.132256,0.0443579,-0.990223,-0.00818715,0.0342694,-0.999379,0.14254,-0.110501,-0.983602
62.76,0.106829,0.0281852,0.993878,0.132256,0.0443579,-0.990223,0.0570528,-0.092943,0.994036,0.132256,0.0443579,-0.990223,-0.135726,0.126546,0.982631,0.132256,0.0443579,-0.990223,0.384097,-0.0662955,-0.92091,0.132256,0.0443579,-0.990223,-0.00818715,0.0342694,-0.999379,0.14254,-0.110501,-0.983602
63.75,0.106829,0.0281852,0.993878,0.132256,0.0443579,-0.990223,0.0570528,-0.092943,0.994036,0.132256,0.0443579,-0.990223,-0.135772,0.0875382,0.986865,0.132256,0.0443579,-0.990223,0.386226,0.707527,-0.591806,0.132256,0.0443579,-0.990223,-0.00818715,0.0342694,-0.999379,0.14254,-0.110501,-0.983602
64.75,0.106829,0.0281852,0.993878,0.132256,0.0443579,-0.990223,0.0570528,-0.092943,0.994036,0.132256,0.0443579,-0.990223,-0.135772,0.0875382,0.986865,0.132256,0.0443579,-0.990223,0.36202,0.886308,0.28879,0.132256,0.0443579,-0.990223,-0.00818715,0.0342694,-0.999379,0.14254,-0.110501,-0.983602
65.75,0.106829,0.0281852,0.993878,0.132256,0.0443579,-0.990223,0.0570528,-0.092943,0.994036,0.132256,0.0443579,-0.990223,-0.135772,0.0875382,0.986865,0.132256,0.0443579,-0.990223,0.321412,0.25868,0.910922,0.132256,0.0443579,-0.990223,-0.00818715,0.0342694,-0.999379,0.14254,-0.110501,-0.983602
66.74,0.106829,0.0281852,0.993878,0.132256,0.0443579,-0.990223,0.0570528,-0.092943,0.994036,0.132256,0.0443579,-0.990223,-0.135772,0.0875382,0.986865,0.132256,0.0443579,-0.990223,0.321459,0.0769248,0.943794,0.132256,0.0443579,-0.990223,-0.0260448,0.728918,-0.684105,0.14254,-0.110501,-0.983602
67.74,0.106829,0.0281852,0.993878,0.132256,0.0443579,-0.990223,0.0570528,-0.092943,0.994036,0.132256,0.0443579,-0.990223,-0.135772,0.0875382,0.986865,0.132256,0.0443579,-0.990223,0.321459,0.0769248,0.943794,0.132256,0.0443579,-0.990223,-0.0885906,0.968953,0.23083,0.14254,-0.110501,-0.983602
68.74,0.106829,0.0281852,0.993878,0.132256,0.0443579,-0.990223,0.0570528,-0.092943,0.994036,0.132256,0.0443579,-0.990223,-0.135772,0.0875382,0.986865,0.132256,0.0443579,-0.990223,0.321459,0.0769248,0.943794,0.132256,0.0443579,-0.990223,-0.056976,0.338039,0.939406,0.14254,-0.110501,-0.983602
69.73,0.106829,0.0281852,0.993878,0.132256,0.0443579,-0.990223,0.0570528,-0.092943,0.994036,0.132256,0.0443579,-0.990223,-0.135772,0.0875382,0.986865,0.132256,0.0443579,-0.990223,0.321459,0.0769248,0.943794,0.132256,0.0443579,-0.990223,-0.0514996,0.0114096,0.998608,-0.497519,-0.104395,-0.861148
70.72,0.106829,0.0281852,0.993878,0.132256,0.0443579,-0.990223,0.0570528,-0.092943,0.994036,0.132256,0.0443579,-0.990223,-0.135772,0.0875382,0.986865,0.132256,0.0443579,-0.990223,0.321459,0.0769248,0.943794,0.132256,0.0443579,-0.990223,-0.0514996,0.0114096,0.998608,-0.987156,-0.0894571,-0.132362
71.72,0.106829,0.0281852,0.993878,0.132256,0.0443579,-0.990223,0.0570528,-0.092943,0.994036,0.132256,0.0443579,-0.990223,-0.135772,0.0875382,0.986865,0.132256,0.0443579,-0.990223,0.321459,0.0769248,0.943794,0.132256,0.0443579,-0.990223,-0.0514996,0.0114096,0.998608,-0.987156,-0.0894571,-0.132362
72.72,0.106829,0.0281852,0.993878,0.132256,0.0443579,-0.990223,0.0570528,-0.092943,0.994036,0.132256,0.0443579,-0.990223,-0.135772,0.0875382,0.986865,0.132256,0.0443579,-0.990223,0.321459,0.0769248,0.943794,0.132256,0.0443579,-0.990223,-0.0514996,0.0114096,0.998608,-0.987156,-0.0894571,-0.132362
73.72,0.106829,0.0281852,0.993878,0.132256,0.0443579,-0.990223,0.0570528,-0.092943,0.994036,0.132256,0.0443579,-0.990223,-0.135772,0.0875382,0.986865,0.132256,0.0443579,-0.990223,0.321459,0.0769248,0.943794,0.132256,0.0443579,-0.990223,-0.0514996,0.0114096,0.998608,-0.987156,-0.0894571,-0.132362
74.71,0.106829,0.0281852,0.993878,0.132256,0.0443579,-0.990223,0.0570528,-0.092943,0.994036,0.132256,0.0443579,-0.990223,-0.135772,0.0875382,0.986865,0.132256,0.0443579,-0.990223,0.321459,0.0769248,0.943794,0.132256,0.0443579,-0.990223,-0.0514996,0.0114096,0.998608,-0.715953,-0.0821883,0.693294
75.7,0.109634,-0.301546,0.947127,0.132256,0.0443579,-0.990223,0.0570528,-0.092943,0.994036,0.132256,0.0443579,-0.990223,-0.135772,0.0875382,0.986865,0.132256,0.0443579,-0.990223,0.321459,0.0769248,0.943794,0.132256,0.0443579,-0.990223,-0.0514996,0.0114096,0.998608,-0.148449,-0.0728533,0.986233
