time,x,y,z,microwave_val
0.396,0.385785,0.011683,0.923318,0.730058
0.397,0.38667,0.0128749,0.922933,0.736856
0.398,0.387619,0.0120659,0.922546,0.743579
0.399,0.388518,0.012772,0.922157,0.750228
0.4,0.389394,0.0141003,0.921767,0.756802
0.401,0.390315,0.0141121,0.921376,0.763301
0.402,0.391293,0.0125255,0.920993,0.769723
0.403,0.392194,0.0131429,0.920601,0.776068
0.404,0.393166,0.011622,0.920217,0.782336
0.405,0.394106,0.010895,0.919822,0.788525
0.406,0.395086,0.00845967,0.919428,0.794636
0.407,0.395958,0.0104805,0.919036,0.800667
0.408,0.396914,0.00897688,0.91864,0.806618
0.409,0.397859,0.00771681,0.918242,0.812488
0.41,0.398799,0.00650775,0.917845,0.818277
0.411,0.399732,0.00551143,0.917447,0.823984
0.412,0.400662,0.00482087,0.917055,0.829609
0.413,0.401588,0.00386277,0.916651,0.835151
0.414,0.402501,0.00424867,0.916251,0.840609
0.415,0.403418,0.00428434,0.915851,0.845984
0.416,0.404326,0.0049816,0.915449,0.851273
0.417,0.405233,0.00567768,0.915045,0.856478
0.418,0.406131,0.00678118,0.91464,0.861597
0.419,0.40703,0.00762651,0.914233,0.86663
0.42,0.407949,0.00747332,0.913828,0.871576
0.421,0.408862,0.0074815,0.913419,0.876435
0.422,0.409755,0.00853275,0.913012,0.881206
0.423,0.41068,0.008033,0.912607,0.885889
0.424,0.41162,0.00662324,0.912199,0.890484
0.425,0.41256,0.00452615,0.911787,0.894989
0.426,0.413476,0.00427096,0.911377,0.899405
0.427,0.414371,0.00566071,0.910966,0.903732
0.428,0.415305,0.00367302,0.910552,0.907967
0.429,0.416218,0.00337831,0.910136,0.912112
0.43,0.417116,0.00463751,0.90972,0.916166
0.431,0.418022,0.00485412,0.909302,0.920128
0.432,0.418938,0.00454566,0.90889,0.923998
0.433,0.419826,0.00624984,0.908474,0.927776
0.434,0.420752,0.00486143,0.908052,0.931461
0.435,0.421646,0.00600879,0.907632,0.935053
0.436,0.42257,0.00466285,0.90721,0.938551
0.437,0.4235,0.00178046,0.906789,0.941955
0.438,0.424409,0.00139115,0.906367,0.945266
0.439,0.425314,0.00221055,0.905947,0.948481
0.44,0.426214,0.00329684,0.905524,0.951602
0.441,0.427134,0.0023394,0.905114,0.954628
