time,q0_x,q0_y,q0_z,q1_x,q1_y,q1_z,q2_x,q2_y,q2_z,q3_x,q3_y,q3_z,q4_x,q4_y,q4_z
0.61,0.00976895,-0.562633,0.826649,0.00976895,-0.562633,0.826649,0.00976895,-0.562633,0.826649,0.00976895,-0.562633,0.826649,0.00976895,-0.562633,0.826649
0.62,0.010136,-0.570521,0.82122,0.010136,-0.570521,0.82122,0.010136,-0.570521,0.82122,0.010136,-0.570521,0.82122,0.010136,-0.570521,0.82122
0.63,0.0105882,-0.578129,0.815877,0.0105882,-0.578129,0.815877,0.0105882,-0.578129,0.815877,0.0105882,-0.578129,0.815877,0.0105882,-0.578129,0.815877
0.64,0.011064,-0.585751,0.810415,0.011064,-0.585751,0.810415,0.011064,-0.585751,0.810415,0.011064,-0.585751,0.810415,0.011064,-0.585751,0.810415
0.65,0.0114899,-0.593403,0.804823,0.0114899,-0.593403,0.804823,0.0114899,-0.593403,0.804823,0.0114899,-0.593403,0.804823,0.0114899,-0.593403,0.804823
0.66,0.01194,-0.601128,0.799064,0.01194,-0.601128,0.799064,0.01194,-0.601128,0.799064,0.01194,-0.601128,0.799064,0.01194,-0.601128,0.799064
0.67,0.0123969,-0.608824,0.793208,0.0123969,-0.608824,0.793208,0.0123969,-0.608824,0.793208,0.0123969,-0.608824,0.793208,0.0123969,-0.608824,0.793208
0.68,0.0127488,-0.616333,0.787383,0.0127488,-0.616333,0.787383,0.0127488,-0.616333,0.787383,0.0127488,-0.616333,0.787383,0.0127488,-0.616333,0.787383
0.69,0.0130135,-0.623726,0.781535,0.0130135,-0.623726,0.781535,0.0130135,-0.623726,0.781535,0.0130135,-0.623726,0.781535,0.0130135,-0.623726,0.781535
0.7,0.0132421,-0.631213,0.775496,0.0132421,-0.631213,0.775496,0.0132421,-0.631213,0.775496,0.0132421,-0.631213,0.775496,0.0132421,-0.631213,0.775496
0.71,0.0134737,-0.638575,0.769442,0.0134737,-0.638575,0.769442,0.0134737,-0.638575,0.769442,0.0134737,-0.638575,0.769442,0.0134737,-0.638575,0.769442
0.72,0.0136933,-0.645922,0.763281,0.0136933,-0.645922,0.763281,0.0136933,-0.645922,0.763281,0.0136933,-0.645922,0.763281,0.0136933,-0.645922,0.763281
0.73,0.013913,-0.653361,0.756919,0.013913,-0.653361,0.756919,0.013913,-0.653361,0.756919,0.013913,-0.653361,0.756919,0.013913,-0.653361,0.756919
0.74,0.0141774,-0.660716,0.750502,0.0141774,-0.660716,0.750502,0.0141774,-0.660716,0.750502,0.0141774,-0.660716,0.750502,0.0141774,-0.660716,0.750502
0.75,0.0143916,-0.668031,0.743994,0.0143916,-0.668031,0.743994,0.0143916,-0.668031,0.743994,0.0143916,-0.668031,0.743994,0.0143916,-0.668031,0.743994
0.76,0.0144795,-0.675184,0.737507,0.0144795,-0.675184,0.737507,0.0144795,-0.675184,0.737507,0.0144795,-0.675184,0.737507,0.0144795,-0.675184,0.737507
0.77,0.0145338,-0.682231,0.730992,0.0145338,-0.682231,0.730992,0.0145338,-0.682231,0.730992,0.0145338,-0.682231,0.730992,0.0145338,-0.682231,0.730992
0.78,0.0146028,-0.689304,0.724325,0.0146028,-0.689304,0.724325,0.0146028,-0.689304,0.724325,0.0146028,-0.689304,0.724325,0.0146028,-0.689304,0.724325
0.79,0.0146687,-0.696424,0.717481,0.0146687,-0.696424,0.717481,0.0146687,-0.696424,0.717481,0.0146687,-0.696424,0.717481,0.0146687,-0.696424,0.717481
0.8,0.0147787,-0.703508,0.710533,0.0147787,-0.703508,0.710533,0.0147787,-0.703508,0.710533,0.0147787,-0.703508,0.710533,0.0147787,-0.703508,0.710533
0.81,0.0148887,-0.710563,0.703476,0.0148887,-0.710563,0.703476,0.0148887,-0.710563,0.703476,0.0148887,-0.710563,0.703476,0.0148887,-0.710563,0.703476
0.82,0.0150212,-0.717532,0.696364,0.0150212,-0.717532,0.696364,0.0150212,-0.717532,0.696364,0.0150212,-0.717532,0.696364,0.0150212,-0.717532,0.696364
0.83,0.0152001,-0.724439,0.689171,0.0152001,-0.724439,0.689171,0.0152001,-0.724439,0.689171,0.0152001,-0.724439,0.689171,0.0152001,-0.724439,0.689171
0.84,0.0154073,-0.731195,0.681995,0.0154073,-0.731195,0.681995,0.0154073,-0.731195,0.681995,0.0154073,-0.731195,0.681995,0.0154073,-0.731195,0.681995
0.85,0.0154259,-0.737829,0.674811,0.0154259,-0.737829,0.674811,0.0154259,-0.737829,0.674811,0.0154259,-0.737829,0.674811,0.0154259,-0.737829,0.674811
0.86,0.0155308,-0.744485,0.667458,0.0155308,-0.744485,0.667458,0.0155308,-0.744485,0.667458,0.0155308,-0.744485,0.667458,0.0155308,-0.744485,0.667458
0.87,0.01568,-0.751059,0.660049,0.01568,-0.751059,0.660049,0.01568,-0.751059,0.660049,0.01568,-0.751059,0.660049,0.01568,-0.751059,0.660049
0.88,0.0159155,-0.757619,0.652503,0.0159155,-0.757619,0.652503,0.0159155,-0.757619,0.652503,0.0159155,-0.757619,0.652503,0.0159155,-0.757619,0.652503
