time,x,y,z,microwave_val
0.292,-0.00774433,-0.287898,0.958185,-0.975549
0.293,-0.00762715,-0.28886,0.957897,-0.977698
0.294,-0.00687488,-0.289837,0.957609,-0.979749
0.295,-0.00609232,-0.290812,0.95732,-0.981702
0.296,-0.00766637,-0.291732,0.957029,-0.983557
0.297,-0.00529953,-0.292741,0.956736,-0.985314
0.298,-0.00558316,-0.293692,0.956442,-0.986972
0.299,-0.00513802,-0.294658,0.956152,-0.988532
0.3,-0.00522349,-0.295612,0.955857,-0.989992
0.301,-0.00513981,-0.29657,0.955561,-0.991354
0.302,-0.00511237,-0.297526,0.955264,-0.992617
0.303,-0.00586531,-0.298469,0.954972,-0.99378
0.304,-0.00505771,-0.299438,0.954673,-0.994844
0.305,-0.00472944,-0.300398,0.954371,-0.995808
0.306,-0.00382497,-0.301364,0.954067,-0.996673
0.307,-0.0027865,-0.302329,0.953766,-0.997438
0.308,-0.00417363,-0.303268,0.953468,-0.998104
0.309,-0.00388042,-0.304226,0.953164,-0.998669
0.31,-0.00255538,-0.305194,0.952864,-0.999135
0.311,-0.00312622,-0.306141,0.952558,-0.999501
0.312,-0.00399685,-0.307085,0.952256,-0.999767
0.313,-0.004483,-0.308031,0.951949,-0.999933
0.314,-0.00496556,-0.308976,0.951644,-0.999999
0.315,-0.0051576,-0.309925,0.951335,-0.999965
0.316,-0.00457176,-0.310885,0.951025,-0.999831
0.317,-0.00532615,-0.311824,0.950715,-0.999597
0.318,-0.0042785,-0.312792,0.950406,-0.999263
0.319,-0.00292076,-0.31376,0.950098,-0.998829
0.32,-0.00284833,-0.314712,0.949788,-0.998295
0.321,-0.0023081,-0.315667,0.949477,-0.997661
0.322,-0.00290479,-0.316612,0.949162,-0.996928
0.323,-0.00441281,-0.317544,0.948845,-0.996095
0.324,-0.00444232,-0.318494,0.948534,-0.995162
0.325,-0.00363118,-0.319455,0.948222,-0.99413
0.326,-0.0041287,-0.320397,0.947902,-0.992998
